"first_launch","fictitious_user_id"
"2013-04-28 17:33:36.970391-07","BE2F0CC5C4C57E24"
"2013-04-28 22:13:30.190315-07","235A9D8BC7D333D6"
"2013-04-29 00:36:58.811932-07","0EA8E1939C11D5D0"
"2013-04-29 07:13:26.724305-07","9256C8BC4CC610EC"
"2013-04-29 13:34:16.967024-07","812F26555E29F8AC"
"2013-04-29 14:04:42.351216-07","B5EDA14832B322F0"
"2013-04-29 15:20:42.984478-07","E42E32531FC47B90"
"2013-04-29 17:16:58.269484-07","75CA090A11919616"
"2013-04-30 01:55:50.524104-07","1234C96C08332A1A"
"2013-04-30 09:23:35.84598-07","A79AD04D1448DC25"
"2013-04-30 09:58:10.05795-07","03D6494A33B445F7"
"2013-05-01 03:22:28.295326-07","57059520B98E200E"
"2013-05-01 11:16:02.342559-07","C4CAE703391CE99C"
"2013-05-01 18:15:13.634563-07","D4FCEE9C4D3810C5"
"2013-05-01 19:54:49.291458-07","A09398E154FC8359"
"2013-05-02 08:45:49.860983-07","852810E11B1CA7CB"
"2013-05-02 16:59:08.308602-07","2576A3E922BC4025"
"2013-05-02 23:12:26.098857-07","E4C0BF7447368F50"
"2013-05-03 00:56:51.417516-07","2E9D3375B7123438"
"2013-05-03 04:09:55.715929-07","F8318078CEE872A1"
"2013-05-03 04:12:16.780107-07","FE5E537E2C34E3A6"
"2013-05-03 13:36:46.155214-07","BE2051BA32730040"
"2013-05-03 14:48:15.525734-07","A3B3A8DA5AA44007"
"2013-05-03 16:16:21.448694-07","7A9C31583A8E54BE"
"2013-05-03 18:55:01.141497-07","EBD0A79CD4D44A4C"
"2013-05-03 20:25:56.406305-07","D191BA5D0E38C100"
"2013-05-03 21:23:53.759786-07","AB691946FF6BDDED"
"2013-05-04 00:33:22.896042-07","8B5E22B7BF892798"
"2013-05-04 00:41:10.07343-07","7849435806D5A8D2"
"2013-05-04 01:16:29.99179-07","14983D50F66CA1CE"
"2013-05-04 01:34:17.195773-07","8538585385B94430"
"2013-05-04 02:39:38.647517-07","AB85F37FBC39B2B3"
"2013-05-04 02:41:13.497102-07","1F3423B636263C1A"
"2013-05-04 02:55:16.949274-07","B1269164FE5B7CC2"
"2013-05-04 03:51:22.846772-07","21B61BC856A5724D"
"2013-05-04 04:24:14.618273-07","396D770E69C6123C"
"2013-05-04 05:50:21.902241-07","4282670773BA8E3F"
"2013-05-04 06:32:58.421043-07","5506A20BA914AF04"
"2013-05-04 07:58:38.078248-07","9456C90884F1C37A"
"2013-05-04 08:38:42.64023-07","11ACC4A311933989"
"2013-05-04 09:09:55.746385-07","158F3A98A4BF6C05"
"2013-05-04 09:10:20.06686-07","C09396AE27C3CAA3"
"2013-05-04 09:13:12.868686-07","65A4FA6CB7CDFF08"
"2013-05-04 09:26:37.976828-07","8B60E390ABCF7464"
"2013-05-04 13:58:16.019922-07","9A380089E5DBF8F9"
"2013-05-04 17:11:33.118758-07","F8D34A28ABA2FE67"
"2013-05-04 17:30:10.751926-07","E73D8AF73A554EA5"
"2013-05-04 18:31:29.284049-07","C89F814A48B76AB8"
"2013-05-04 19:26:35.309812-07","85C75174D2AF0359"
"2013-05-04 20:18:42.536352-07","DAFA7F321F58FAD7"
"2013-05-04 20:48:32.298989-07","EC218D76695EA9E9"
"2013-05-04 23:25:09.843128-07","2882E02D405B0702"
"2013-05-05 00:36:20.831308-07","899C208B38F5FEE6"
"2013-05-05 00:54:08.986812-07","A46A6C12CCBFCE78"
"2013-05-05 01:27:49.467862-07","1912C7675B3103FE"
"2013-05-05 01:29:37.286875-07","494F00D5529DDAB6"
"2013-05-05 01:57:54.08233-07","B9206498844E0BFE"
"2013-05-05 01:58:30.742647-07","406DD83FC210084D"
"2013-05-05 02:43:03.891275-07","B498990E8640F19C"
"2013-05-05 03:34:08.510571-07","366A9FE8929D978C"
"2013-05-05 03:40:38.455855-07","DC6A62547200AC9A"
"2013-05-05 03:47:32.304011-07","A698F9A2B70C6B56"
"2013-05-05 03:56:32.736232-07","5E14AF6D4DE49E62"
"2013-05-05 05:55:19.164522-07","40D73EBD10419637"
"2013-05-05 07:05:28.857305-07","164F0B8576403918"
"2013-05-05 17:11:51.180972-07","9E399EEF8DC62F9D"
"2013-05-05 23:01:14.180779-07","E51A8FDA14F5E5E7"
"2013-05-05 23:37:03.885909-07","5B025638437454D6"
"2013-05-06 00:58:53.710021-07","F136CA78F700764C"
"2013-05-06 01:09:17.985112-07","B0443AAA7498391A"
"2013-05-06 01:49:03.046289-07","289D7E0A49FE4B0E"
"2013-05-06 01:57:09.246334-07","F02F73F447F64AB3"
"2013-05-06 02:08:36.74489-07","8DB8621A04E99AAF"
"2013-05-06 02:17:26.196491-07","BF4DE378F6399424"
"2013-05-06 02:23:36.025984-07","E4881A4E85336FD7"
"2013-05-06 02:41:34.891808-07","5FFF1F71FF2B9006"
"2013-05-06 02:54:51.531041-07","A4A016DBAADEA9E3"
"2013-05-06 03:44:46.514293-07","BE682108369F5B55"
"2013-05-06 04:10:11.030701-07","246E9656D5C7FB4D"
"2013-05-06 04:14:49.197149-07","FEEABBD74FEFA271"
"2013-05-06 10:20:12.600193-07","E00E34E7BC5FCD4C"
"2013-05-06 21:04:08.75557-07","794A3A70E77CB11D"
"2013-05-07 01:49:36.769192-07","7C5EDF0E14D904B2"
"2013-05-07 04:06:56.307674-07","1ECE02B7E156911A"
