"user_id","ln_msgs"
5453423691,8
18486228,5
5458427757,1
5447038844,4
5978926264,25
5988104413,296
5974233414,862
5978895068,51
5387690838,1
5454406511,908
7260067892,171
5422098338,79
5988221839,197
5981203271,2
5443197941,2
5459560620,23
5428089132,60
7257008560,104
5459692199,80
5969006141,74
7263704183,304
7268149490,209
5985072278,189
5460537873,43
5402092397,24
5979464763,6
7270688946,127
5964522791,17
5455234829,28
6739505651,1
5459103200,50
5988300672,63
5987790882,22
5424912585,1
5990302739,63
5986956250,17
5984321927,252
5988255815,1
6744140593,20
5979324583,19
5969101871,2
5821877161,663
5450560485,300
5918110905,2
5412612935,297
5987777209,42
5987161750,1
5398700379,3
5989853820,2854
13508463,535
5983812396,373
5988232195,6
7252088951,21
5973214693,169
5968007571,96
5989306525,2
5990184064,1299
5461236956,143
5808896833,2
20335161,66
5990776354,237
7199061680,1
5450627603,5
5442265189,18
5460754703,1
5463156782,26
5967592974,84
5448136559,12
5965282285,6
5457866841,356
5990588807,176
5987323678,405
5987814863,28
5450874884,105
5446402000,31
1560890158,88
5988850844,289
5988756970,183
5404372992,20
5403312079,2
5987860991,30
5990624410,120
5448608795,66
5980933019,4
5454911014,201
5988034239,25
5459444832,36
5989771847,113
5989023596,68
5969626153,19
33213467,15
5983162501,1
5460066913,254
5988517283,1
5972439562,53
5977009571,125
15806142,36
5411396053,19
5989659960,4
5459889473,16
5436327622,36
17086657,24
2642800,10
5984276474,100
5990634260,323
5445347852,3
5990087211,41
5984424555,12
5418597699,6
5991446761,5
5990098350,428
5988990432,42
7247600432,1
5977357845,8
5980170564,1478
5452639842,6
5453353108,6
7250190199,270
5885066350,24
5989936760,69
5441735828,67
5981795415,168
6737309171,2
36591503,8
5984211649,40
6740090740,6
5463819226,1
5396509710,1
5411532800,37
5393127758,9
7262394035,296
5987110372,79
5971221992,66
5460960552,69
5989159869,567
5984588203,48
5987563431,23
7268193969,9
5421560802,1
5988658658,131
5433511316,10
5972542802,37
9470609,23
5971020651,1
5987442192,77
5464003391,1334
5460088641,126
5991334445,2
5453354073,2
5990382848,81
5988372526,31
5989380764,8
5414180505,4
5990007588,9
5427467335,3
5439061642,74
5401290357,19
5978963375,112
5981866317,4
5391623231,32
5460348878,102
8786115,58
5991080685,2
5989325742,15
7271222198,18
5420900017,66
6742551157,1
5446499782,24
5966755476,152
5983176476,76
5966885738,591
5971503775,115
5453055740,5
5455213518,12
5462153630,5
5436687891,1
5978433255,92
5411249560,1
5976507484,19
5977697482,8
5444977237,9
5437098858,17
5981181189,222
5419862041,4
5980800765,20
5986724370,19
5972512892,5
5971874590,98
25922818,28
5982577130,8
5988839724,1189
5888537224,1
5438086373,18
5985662617,383
5987761825,456
5455706915,380
5456778444,1
24686186,97
5976516362,77
5450007641,47
18253655,6
5404046925,24
5442273666,1
5408870278,3
5438896046,90
12013626,8
7251801908,18
5990625510,10
5446753991,550
5407993418,4
5444036978,3
5991202261,629
5462844827,3
5987303164,50
5988979520,158
5446430650,2
5970050112,19
5463725369,9
5982461584,565
5400859619,2
5983617759,191
5460385095,118
5990896284,27
5975876619,121
5980685281,10
7257832883,56
5964664775,10
5980343171,21
5983079267,629
5459966782,2
5982395982,131
5436360930,3
3009551,75
5989150820,99
5448350973,2
23467880,534
5807250895,58
5973558616,6
5983418831,40
5982544987,4
5437280460,1
365961934,169
5448306414,18
5984351043,1
5443201988,230
5429699128,181
5989827536,49
5456418143,62
5987948451,2
23977719,137
5981055818,5
5986387321,23
7252908791,35
7254319158,16
5985841709,1254
5402097930,22
5454460427,651
5456550188,44
5982204120,123
4248137,82
5980871871,5
6731666999,141
5989602755,30
5989093649,80
5985008339,945
5981970450,4
5446937198,3
5989751377,96
5986712841,45
5988172894,255
5387988282,10
5461079849,8
5408633492,26
5988731336,61
3718532,193
5452444450,142
5457979055,143
5974393403,909
5454471033,22
5973561120,1
5969692794,73
5454585539,816
5988376733,9
5964371090,8
5987508575,31
6739780721,37
5989464662,564
5990166317,88
5977443266,2
5981426347,3
17719657,3
1441712170,67
6737472880,47
377007629,54
7270571633,16
5985839695,107
7260777974,1
5981923790,303
5965972525,91
5984691995,20
5986063960,401
5991283281,14
5969349861,1267
5415158036,1
5404264662,16
5984274785,154
5986899533,13
5382825383,2
5986882404,45
5452136184,8
5462175463,9
5990098834,66
5417635842,999
5425870375,1
5463394860,98
5463732116,1
5409723523,75
5437599344,24
5990803105,129
5970004908,12
197142400,1
5458066895,135
7269799984,123
5964102615,3
7268460272,129
5987069730,2
5382321807,92
5967981598,67
5989820878,1065
14593769,854
5409998789,30
11030602,11
5970491929,99
5419012378,4
5969434206,8
5979301339,614
5985503530,204
5968022080,1
5977230274,13
5458164625,22
5455506790,3
5969295822,614
5982145107,7
5989774228,128
5462603530,385
5989721117,187
6371726,10
5401907480,22
5980221271,303
5409765997,37
5987003492,24
5988129234,22
5990496228,3
5967802453,178
5971776815,1
5972549673,16
5987723939,7
7266785713,141
5989426057,10
5451344576,68
5989366063,1
5973446798,350
5967030759,11
5405481504,6
5454561664,3
5971972876,24
5986675977,26
5408175173,1
5990677983,2259
5397811149,1
