"dt","new_friend","friend_request","message","meet_me","photo_comment","meet_me_yes"
"2013-06-27",899369,2145872,9804543,934303,75000,1066814
"2013-06-28",813268,1989938,8986578,825801,72710,964974
"2013-06-29",769784,1931642,8742966,768937,70600,911257
"2013-06-30",841025,2054932,9311591,820314,79632,946577
"2013-07-01",850695,2111716,9763903,812939,77941,936338
"2013-07-02",873181,2125078,9696958,843457,75436,1048145
"2013-07-03",850633,2055008,9411509,876375,76040,1101909
"2013-07-04",738552,1846058,8411935,775235,94858,1228479
"2013-07-05",792132,1939294,8665338,809719,103596,1267642
"2013-07-06",785638,1928775,8608390,810950,93079,1118202
"2013-07-07",881584,2113590,9646117,865686,102353,1177859
"2013-07-08",911628,2141910,9825722,951562,108261,1463222
"2013-07-09",851376,1925450,9213840,908353,113142,1604993
"2013-07-10",938792,2267033,10069700,1007274,150100,1896123
"2013-07-11",877955,2133978,9378788,935952,144401,1913555
"2013-07-12",902153,2184037,9123021,1028200,148469,2247737
"2013-07-13",875824,2136542,9181082,987816,147400,2183221
"2013-07-14",978758,2313002,9150902,1082373,162140,2416307
"2013-07-15",982491,2369770,10908433,1036978,175867,2460486
"2013-07-16",955491,2321152,10527285,1040749,173178,2414014
"2013-07-17",958612,2318178,10335437,1016826,179444,2477066
"2013-07-18",913393,2262081,10232684,1021148,175421,2424858
"2013-07-19",844099,2142020,9618576,916179,163557,2283336
"2013-07-20",834852,2159916,9661651,918938,166232,2377419
"2013-07-21",957407,2374888,10564842,1042013,197502,2751383
"2013-07-22",1012770,2439004,10902378,1067372,202759,2803322
"2013-07-23",988764,2402668,10858947,1068604,197384,2901892
"2013-07-24",984082,2384504,11088584,1059151,199263,2906806
"2013-07-25",951196,2334994,10793095,1029794,197453,2973933
"2013-07-26",868866,2214514,10045126,959311,185571,2662578
"2013-07-27",864588,2218543,9811137,933299,183643,2733937
"2013-07-28",982744,2405437,10808321,1036268,209595,2973616
"2013-07-29",979724,2402997,11203039,1059633,212020,2965171
"2013-07-30",968538,2420957,11145411,1125206,210047,3328416
"2013-07-31",995717,2442478,11119589,1151033,212915,3366808
"2013-08-01",898526,2261211,10305339,1025216,203723,3094817
"2013-08-02",816495,2098209,9895785,888774,185786,2794638
"2013-08-03",808221,2083854,9499813,868280,177404,2804793
"2013-08-04",893333,2233842,10381310,941922,198315,3026812
"2013-08-05",934066,2370888,10859287,1004310,214059,3278068
"2013-08-06",918521,2325250,10602403,989084,216974,3383491
"2013-08-07",868172,2239942,10177894,968825,206587,3298058
"2013-08-08",886678,2291678,10012073,1004558,212243,3622760
"2013-08-09",860106,2232061,9792327,980645,219278,3436953
"2013-08-10",799446,2142519,9278912,915580,209308,3119649
"2013-08-11",936262,2410103,10906658,1048279,228457,3435368
"2013-08-12",958273,2445117,11315169,1025035,236671,3427760
"2013-08-13",651787,1574914,10854617,632981,152696,3585817
"2013-08-14",245842,420165,10413069,215857,50220,3372559
"2013-08-15",250568,415850,10431702,215344,48623,3524426
"2013-08-16",243185,429481,9810639,227181,44394,3490149
"2013-08-17",245419,417779,9696833,217786,44593,3320969
"2013-08-18",259182,436173,10202121,225437,47903,3571659
"2013-08-19",264082,431491,10814444,227849,53258,3559201
"2013-08-20",256552,432705,10673124,217098,51868,3323547
"2013-08-21",265517,428811,10652887,221962,51638,3380037
"2013-08-22",411714,576487,10448978,386433,56247,2924573
"2013-08-23",534335,729763,9754295,555573,60695,2290941
"2013-08-24",544216,721046,9536321,594861,60346,2224421
"2013-08-25",588506,772905,10337473,644248,65126,2247009
"2013-08-26",215891,292433,3995821,222353,28391,819733
