"user_id","count"
5987827630,7
5987832041,12
5987923854,6
5987929707,5
5988378783,20
5988544445,18
5988699795,3
5988701784,20
5988882117,1
5988945555,1
5989097854,2
5989315729,19
5989510013,4
5989525163,6
5989528165,20
5989670372,10
5989688462,1
5989707746,2
5989738906,9
5989970820,4
5990063565,4
5990256607,20
5990297816,3
5990298828,8
5990366445,20
5990405402,20
5990423683,20
5990552198,7
5990639317,5
5990701166,12
5990816534,9
5990828618,20
5990835721,6
5990848217,19
5991043053,20
5991218628,20
5991250718,3
5991311815,20
5991341921,20
5991395199,20
5991560613,12
5991754399,20
5991759973,20
5991894272,9
5991962510,4
5991976007,2
5992042310,1
5992053820,17
5992118168,4
5992130491,10
5992131074,20
5992152751,20
5992199242,19
5992200376,6
5992202021,12
5992229564,20
5992232829,18
5992233352,20
5992234619,17
5992252519,1
5992254015,19
5992256922,20
5992257927,11
5992258790,20
5992280723,1
5992295294,1
5992311839,3
5992333630,2
5992350242,1
5992372574,20
5992395031,3
5992415842,20
5992437605,1
5992444672,11
5992450834,2
5992473997,1
5992480787,20
5992483531,1
5992526175,2
5992536410,20
5992536732,20
5992544192,1
5992565588,20
5992567131,4
5992589326,1
5992597004,1
5992598123,1
5992613273,12
5992615068,1
5992704614,1
5992738568,1
5992760861,19
5992769467,1
5992781256,2
5992808825,3
5992826404,20
5992877374,19
5992886014,20
5992898622,20
5992903806,20
5992905982,18
5992906650,1
5992908478,3
5992915774,20
5992916383,15
5992917438,20
5992922519,1
5992930622,1
5992932258,19
5992933985,20
5992937342,8
5992945790,1
5992953513,15
5992954569,20
5992956094,20
5992958334,11
5992962889,20
5992964414,1
5992976125,14
5992979965,6
5992980926,20
5992986313,6
5992989630,4
5992991614,20
5992997451,20
5992999433,7
5993009918,6
5993012221,1
5993015395,1
5993016061,1
5993017534,4
5993017981,20
5993019913,10
5993020606,14
5993023928,1
5993024317,6
5993028365,1
5993029449,20
5993031486,1
5993033312,7
5993033598,7
5993036605,20
5993038245,20
5993039177,1
5993042765,8
5993045067,1
5993045259,2
5993046462,20
5993048997,12
5993049037,17
5993049101,8
5993049342,20
5993051403,20
5993053133,2
5993053949,16
5993059145,10
5993060901,17
5993062857,1
5993064869,9
5993066661,13
5993067557,12
5993069102,6
5993069309,1
5993072253,20
5993079631,16
5993081033,1
5993083712,20
5993083773,2
5993089097,20
5993092681,3
5993093199,10
5993093437,6
5993093550,20
5993096267,20
5993097037,8
5993098684,11
5993101885,1
5993106492,20
5993106891,1
5993107211,20
5993107405,20
5993108107,1
5993110477,3
5993110781,20
5993112430,7
5993113485,20
5993114381,5
5993114981,2
5993115182,3
5993115346,5
5993115659,2
5993116736,14
5993117515,20
5993117769,15
5993118479,20
5993118861,20
5993119625,1
5993119753,15
5993120320,8
5993121039,1
5993122109,20
5993124237,7
5993125067,17
5993125248,1
5993126409,1
5993126428,1
5993127164,1
5993129353,20
5993129860,13
5993131045,20
5993131716,2
5993143360,13
5993144143,13
5993146990,1
5993147237,10
5993147851,17
5993149380,20
5993150169,9
5993151790,11
5993153741,8
5993153988,20
5993156901,2
5993158158,4
5993160910,10
5993163749,8
5993163968,20
5993164932,2
5993166285,16
5993166916,2
5993167129,20
5993168040,1
5993168939,20
5993170469,17
5993170509,20
5993170716,1
5993172619,2
5993172683,1
5993174862,20
5993175528,20
5993175818,20
5993177753,20
5993181102,7
5993183552,2
5993184360,15
5993186126,3
5993186219,4
5993186890,20
5993188288,20
5993188655,1
5993189163,1
5993189568,20
5993191513,1
5993192168,1
5993192271,18
5993193152,20
5993193945,4
5993193984,1
5993193996,20
5993195755,19
5993197285,10
5993197711,20
5993198412,20
5993198863,2
5993198922,5
5993199360,19
5993199438,1
5993200281,2
5993200406,3
5993201230,1
5993202442,2
5993205636,20
5993206254,5
5993207183,2
5993208956,1
5993208985,2
5993209184,1
5993209216,18
5993210536,2
5993210734,19
5993212096,5
5993212672,20
5993213017,15
5993214016,6
5993214396,1
5993214830,5
5993215342,20
5993217384,5
5993217679,1
5993217835,20
5993218383,2
5993219744,10
5993220715,20
5993220975,1
5993221454,20
5993221518,19
5993222830,20
5993223375,12
5993223400,4
5993223820,1
5993226752,3
5993226977,9
5993227033,20
5993227136,20
5993230478,1
5993232964,1
5993234574,8
5993234940,20
5993236459,1
5993237166,1
5993237529,8
5993239367,19
5993240524,1
5993241455,1
5993241868,1
5993241920,15
5993245486,20
5993246574,4
5993247623,2
5993247695,2
5993248047,9
5993249474,1
5993249479,3
5993249796,13
