"dt","avg"
"2012-10-19",12.8721329431575
"2013-02-13",13.6336602150842
"2012-11-09",13.1214976919969
"2012-11-15",13.7833491833618
"2013-02-19",16.205775411812
"2012-10-16",14.3006176398575
"2013-01-20",14.4683327906219
"2013-03-16",15.2264091301711
"2013-01-11",13.6508853827282
"2012-10-07",14.7635607374233
"2013-03-07",15.1977165836174
"2012-12-01",13.8878595320396
"2013-03-02",14.341405994035
"2012-11-26",14.7304093499558
"2012-12-26",15.0311782796291
"2013-05-08",18.0774382520583
"2013-04-01",18.3844756748576
"2013-02-07",13.733336643249
"2012-11-03",14.0364696542262
"2013-03-05",14.6740761536173
"2012-11-29",14.2204936110902
"2012-11-21",14.0276413147127
"2013-02-25",15.878985939884
"2013-02-27",15.0736627379873
"2012-11-23",13.9093141463064
"2013-05-18",19.2590797301848
