"fid";"count"
8220737;12
8226083;1200
8229309;24
8229912;66
8302004;66
8305068;29
8305352;144
8306986;3
8307548;4
8313060;2
8313543;61
8318942;1
8325067;3
8329614;11
8339450;419
8349730;45
8350127;56
8355086;52
8355510;158
8355833;262
8364048;137
8368930;96
8369430;8
8374618;106
8374767;37
8375520;43
8403341;4
8502990;36
8601473;85
8605407;31
8605892;60
8611686;1
8617109;21
8620401;3
8630945;82
8648173;11
8700677;103
8701595;7
8703284;38
8703495;22
8704137;145
8704381;10
8705422;7
8800576;305
8801310;2
8802517;108
8804913;38
8809827;2
8817918;82
8821138;5
8822088;1
8828860;5
8828875;96
8839884;80
8843529;56
8844242;100
8844423;41
8844626;13
8845328;1
8847540;28
8848439;140
9000035;59
9000721;20
9007665;2
9007968;66
9012154;13
9013956;12
9017164;151
9018766;7
9019441;6
9021799;69
9022539;19
9022659;3
9030194;3
9031857;59
9032439;3
9032606;1
9100620;25
9100869;67
9101114;10
9101538;5
9103256;83
9107918;269
9114962;79
9116335;4
9122959;41
9131051;8
9131963;78
9201174;79
9201190;68
9213395;12
9222638;59
9222737;65
9301564;44
9306836;141
9311957;60
9314939;1
9315988;63
9322560;4
9323221;6
9326055;9
9330608;6
9334615;59
9338904;1
9340574;109
9349277;32
9352735;70
9356679;149
9374609;144
9378140;9
9379660;114
9380436;16
9380582;2
9384135;256
9384154;15
9386647;33
9386797;5
9390597;185
9401593;109
9403738;65
9406408;71
9430983;29
9431202;163
9502774;3
9505236;15
9505645;195
9600083;95
9600603;217
9600931;14
9602052;61
9602232;33
9605393;150
9622259;2
9622585;29
9637658;1
9902279;441
9904226;25
10004502;10
10005162;98
10007492;9
10028200;200
10029749;211
10033932;345
10039407;1
10053384;31
10054266;27
10056160;4
10102754;511
10102928;34
10104637;22
10107819;1
10109401;3
10112442;37
10117302;1024
10120627;12
10121923;40
10126295;17
10126978;69
10127264;15
10127294;47
10129365;19
10132445;9
10135242;19
10135614;10
10136691;38
10136829;26
10136949;11
10138408;315
10138534;1
10200086;8
10202995;41
10203188;53
10208396;14
10225277;21
10226362;34
10227137;220
10227928;1
10228159;10
10229689;68
10231942;69
10237314;9
10502619;146
10511142;56
10512992;156
10515108;28
10601167;18
10620245;83
10621127;1
10711111;140
10712947;34
10714787;51
10716786;12
10721138;26
10722692;4
10722944;157
10723074;102
10725007;2
10729806;9
10735216;130
10800356;5
10801677;2
10801873;6
10802238;6
10806254;130
10808461;14
10809478;25
10809543;257
10900341;149
10903189;47
10910222;7
10912768;29
10913055;45
11013884;58
11019993;19
11204349;70
11210021;70
11307304;60
11309680;10
11316130;7
11317080;53
11318819;104
11318822;176
11400555;5
11510201;1
11512894;164
11517280;73
11519269;11
11521089;15
11522321;4
11522815;13
11601527;26
11605607;12
11609231;12
11610277;85
11611197;11
11612749;49
11613933;451
11614323;28
11700646;386
11702127;165
11704405;31
11705688;56
11705756;27
11706336;2
11708226;170
11708289;39
11709421;24
11711786;168
11711795;167
11712097;49
11713195;556
11803378;6
11906810;1
11907120;19
12005748;47
12006187;103
12102347;16
12104382;35
12105613;4
12108688;127
12109289;59
12114625;221
12119628;48
12120736;8
12126920;171
12129538;476
12129780;1
12130988;125
12132047;3
12200140;25
12203104;10
12309198;111
12322139;5
12322535;81
12325013;79
