"fid";"count"
680848612;74
681195912;222
681242709;100
681626823;434
681894318;245
681936089;726
682035966;574
682497569;317
682762580;625
682882883;331
682899720;171
683023904;182
683385710;244
683426254;852
683456756;1098
683895219;393
684074239;850
684242830;94
684697038;657
685506881;360
685518010;137
685932665;463
686168778;437
686174095;2041
686765814;12
686872647;346
687052456;203
687055097;134
687305095;159
687887505;445
688897082;294
689113939;104
689510822;308
689726814;361
690143157;399
690923532;686
691052098;110
691310352;371
691755631;450
691765076;406
692150082;869
692860642;169
693430430;183
693480579;271
694425392;301
694549668;290
694810653;11
695350330;132
695521018;437
695801140;388
696470796;383
696800338;646
696945023;96
696949122;489
696975199;435
697206421;430
697278044;272
697286844;300
697812595;341
698124219;281
698897606;512
699207196;327
699386657;398
699550062;528
699906123;1145
700071810;611
701189223;827
701601413;247
701726111;118
701872154;567
701920817;507
702447199;235
702990505;630
703123136;456
703700422;97
704025494;168
704173146;592
704202243;297
704510094;553
704635451;886
704820546;407
704823040;271
704883018;528
704934647;411
705414688;1617
705667668;700
705717462;94
705881667;248
705939298;1193
705976755;474
706328626;3007
706847786;1143
707965223;321
708321135;225
708389145;326
708578345;161
708674419;138
708700322;193
708985814;327
709233162;24
709315045;588
709359784;182
709425421;312
709570298;574
709656969;186
710120902;729
710358751;391
710660493;954
710915102;64
711237786;345
711319600;553
711581615;31
711977413;288
712254722;226
712486367;271
712707436;279
712952717;540
713050161;964
713290770;479
713781420;1257
714158666;173
714205285;513
714264426;595
714377320;340
714395249;740
714775763;180
714887265;1192
714946498;136
715523766;782
716281853;918
716980290;224
717011000;451
717540009;836
718787571;501
718983853;235
719370288;204
719609582;267
719630944;191
719860105;246
719863413;1268
720056920;25
720380899;484
720397097;314
720586957;369
720705379;906
720883257;239
720886262;959
721585430;37
721925133;370
722001856;379
722014401;333
722186463;287
722215398;206
722459127;845
723132933;790
723163137;310
723706820;1246
724055075;190
725264091;351
725770195;799
726229736;237
726272237;1357
726707801;858
727089923;146
727226680;355
727239439;51
727595407;224
727612616;63
728495300;195
729116454;360
729287349;195
729367723;212
729455379;512
730386119;606
730885602;303
731054663;454
731251995;118
731400091;706
731480662;751
731746162;224
731751920;368
732661365;452
732779178;168
733019567;189
733294552;827
733479824;193
733694717;1048
733776194;432
733852657;1546
733865538;691
733909386;3685
733954489;36
734005013;533
734010416;1789
734011280;69
734470586;181
734570265;117
734713349;256
735367109;301
735579672;1121
736307183;145
736316844;309
736531384;552
736642738;749
737765067;371
738141467;731
738230450;337
738275174;176
739574001;574
740590913;1205
740610028;155
740917821;204
741040163;668
742463208;177
742507666;496
743686167;90
743858278;393
743864898;308
744119928;1183
744166275;324
744209438;421
744263269;385
744270176;233
744743064;409
746575656;1621
747069450;290
748237208;871
748364503;80
748643005;203
749976647;414
750248276;97
750479135;105
750989583;294
751773871;252
751821224;269
752100474;693
752570211;84
752820356;521
754028116;307
754075000;371
754132974;779
754874461;1256
755356126;678
756385617;199
756597243;455
757295601;341
757604375;264
757866061;450
758409225;3799
759170607;216
759576056;205
760810014;15
761093184;111
761304699;820
761972500;550
762620544;185
762724159;207
762814036;669
763265014;522
764510130;759
764643734;155
765387118;320
765998382;71
766284003;592
766371906;271
767472188;567
767622009;83
767905709;139
769545579;476
769559453;184
769829221;332
770824182;345
771898676;314
772473002;376
772543763;619
773093125;123
773173979;423
774110242;208
774244460;583
775369253;118
776824393;207
777896718;171
778819166;146
778820199;1803
779385446;362
780844114;270
781699466;811
782683969;1407
782704749;1040
783015044;234
783287766;459
784058459;517
784232714;759
785720579;384
785918142;225
787819312;566
788190246;513
788364477;433
788434188;458
788650334;569
788727862;255
788766702;524
788817048;187
788959431;367
789360911;363
789884293;96
789964047;247
790416161;407
790559857;314
791104316;138
791746101;581
791805443;545
792280749;1
792698288;643
794095074;739
794735197;926
794810486;765
796175393;384
796297439;179
796314640;400
796476796;363
796969898;470
797054691;414
798818179;341
799275060;444
799879447;203
800005234;316
800147537;3765
800897721;617
801227947;598
801255326;274
801670202;177
802024593;129
802615602;1988
804385480;385
804435981;186
804908773;218
806125051;32
806202557;589
806673218;1152
806925500;2
806930052;1081
808127117;104
808642416;447
810878437;875
810880129;552
811073710;1069
813465371;201
816182247;2049
816822431;447
818454391;2350
819620524;944
823569691;230
823754675;255
824210496;327
825558988;734
825740197;143
826085365;209
826247718;910
827175143;305
827205104;128
827690689;973
828765106;959
829523912;721
829872127;1018
830344073;543
830669114;658
830777629;682
831121379;626
831338809;58
832510316;98
832844706;1037
835644521;503
837924198;51
839805566;2
840875076;407
841295768;133
841330787;332
841684804;227
842027590;856
843075696;246
843244790;444
844040028;320
844930575;170
848085577;1736
849505322;230
849800345;38
852154616;1028
852924462;1026
854145332;801
857175491;539
857745337;618
869960446;91
